"filename", "language", "JSON", "PHP", "XML", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\attendance.blade.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 5, 96
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\create.blade.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 1, 45
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\edit.blade.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 2, 50
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\history.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\historyLaboran.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 2, 8
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\index.blade.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 3, 100
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\presence.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\scan.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\show.blade.php", "PHP", 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\components\dashboard.blade.php", "PHP", 0, 170, 0, 0, 0, 0, 0, 4, 174
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\components\header.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\components\paginate.blade.php", "PHP", 0, 65, 0, 0, 0, 0, 3, 11, 79
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\index.blade.php", "PHP", 0, 99, 0, 0, 0, 0, 0, 5, 104
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\inventory\create.blade.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 4, 56
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\inventory\edit.blade.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 4, 57
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\inventory\index.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 1, 23
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\inventory\show.blade.php", "PHP", 0, 133, 0, 0, 0, 0, 0, 2, 135
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\layouts\main.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 2, 20
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\project\create.blade.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 8, 108
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\project\edit.blade.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 9, 112
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\project\index.blade.php", "PHP", 0, 115, 0, 0, 0, 0, 0, 2, 117
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\project\show.blade.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 3, 72
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\reserve\create.blade.php", "PHP", 0, 236, 0, 0, 0, 0, 8, 31, 275
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\reserve\index.blade.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 1, 104
